name,email,date,socialmedia,timeperiod,priceing
pradeep,odelapradeep12@gmail.com,19-07-2022,instagram,morethan 1 year,reasonable
pradeep,odelapradeep12@gmail.com,19-07-2022,instagram,morethan 1 year,reasonable
pradeep,odelapradeep12@gmail.com,19-07-2022,instagram,morethan 1 year,reasonable
jagadeshwari,odelapradeep12@gmail.com,19-07-2022,instagram,morethan 1 year,reasonable
dikshitha,odelapradeep12@gmail.com,19-07-2022,instagram,morethan 1 year,reasonable
harini,odelapradeep12@gmail.com,19-07-2022,instagram,morethan 1 year,reasonable
harini,odelapradeep12@gmail.com,19-07-2022,instagram,morethan 1 year,reasonable
pradeep,pradeep@gmail.com,2022-07-19 23:46:05.167065,YOUTUBE,more than 1 year,reasonable
jagadeshwari,jagadeshwari@pradeep.com,2022-07-19 23:46:05.167065,INSTAGRAM,more than 1 year,cheap
Jagadeshwari,jagadeshwari@gmail.com,2022-07-20 21:12:23.203427,YOUTUBE,1 year,cheap
